parcel_id,date,ndvi_value,temperature_c,rainfall_mm,sensor_status
PARCEL_017,2026-02-01,1.832,32.1,0.0,ERROR
PARCEL_001,2026-01-22,1.817,29.3,0.0,ERROR
PARCEL_013,2026-02-19,1.665,22.1,0.0,ERROR
PARCEL_024,2026-04-19,1.626,29.2,0.0,ERROR
PARCEL_015,2026-05-10,1.301,28.6,0.0,ERROR
PARCEL_001,2026-01-08,1.708,15.5,0.0,ERROR
PARCEL_024,2026-05-07,1.337,23.0,0.0,ERROR
PARCEL_012,2026-04-20,-1.672,25.9,0.0,ERROR
PARCEL_005,2026-05-27,-1.024,18.2,0.0,ERROR
PARCEL_011,2026-05-24,1.261,31.3,3.1,ERROR
PARCEL_009,2026-05-20,1.743,25.4,0.0,ERROR
PARCEL_003,2026-02-19,1.83,30.3,0.0,ERROR
PARCEL_001,2026-04-04,-1.163,22.3,0.0,ERROR
PARCEL_023,2026-03-14,-1.492,26.3,0.0,ERROR
PARCEL_006,2026-03-15,1.2,19.2,0.0,ERROR
PARCEL_002,2026-05-20,1.215,33.0,0.0,ERROR
PARCEL_017,2026-05-10,-1.173,18.2,0.0,ERROR
PARCEL_021,2026-04-05,1.235,16.7,0.0,ERROR
PARCEL_009,2026-01-02,-1.677,27.4,4.7,ERROR
PARCEL_016,2026-04-10,1.444,27.5,0.0,ERROR
PARCEL_002,2026-03-28,-1.702,26.1,0.0,ERROR
PARCEL_005,2026-03-03,1.986,29.8,0.0,ERROR
PARCEL_017,2026-04-07,1.405,25.8,0.0,ERROR
PARCEL_016,2026-04-21,-1.553,17.6,0.0,ERROR
PARCEL_014,2026-03-20,1.249,32.6,0.0,ERROR
PARCEL_017,2026-05-29,1.997,30.2,0.0,ERROR
PARCEL_015,2026-04-07,1.984,33.2,0.0,ERROR
PARCEL_009,2026-05-04,1.067,21.1,9.0,ERROR
PARCEL_003,2026-01-17,1.65,30.2,4.2,ERROR
PARCEL_019,2026-01-03,-1.727,21.3,0.0,ERROR
PARCEL_008,2026-02-19,-1.487,27.5,7.2,ERROR
PARCEL_016,2026-04-16,-1.337,35.4,1.2,ERROR
PARCEL_012,2026-04-08,-1.561,28.5,0.0,ERROR
PARCEL_017,2026-05-03,1.858,23.9,0.0,ERROR
PARCEL_009,2026-01-24,1.979,17.5,0.0,ERROR
PARCEL_007,2026-01-19,-1.064,18.7,0.0,ERROR
PARCEL_001,2026-05-01,-1.873,22.6,0.0,ERROR
PARCEL_014,2026-02-04,1.571,29.8,0.0,ERROR
PARCEL_013,2026-04-20,1.482,23.6,4.6,ERROR
PARCEL_024,2026-03-18,-1.609,19.6,0.0,ERROR
PARCEL_014,2026-01-11,-1.765,27.2,0.0,ERROR
PARCEL_025,2026-02-26,1.849,26.1,0.0,ERROR
PARCEL_014,2026-01-03,-1.481,17.2,0.0,ERROR
PARCEL_019,2026-05-27,1.033,34.1,0.6,ERROR
PARCEL_020,2026-01-17,-1.526,19.1,0.0,ERROR
PARCEL_018,2026-04-28,1.121,24.5,1.4,ERROR
PARCEL_007,2026-01-28,1.195,32.9,1.3,ERROR
PARCEL_017,2026-03-06,1.795,24.6,0.0,ERROR
PARCEL_012,2026-02-19,1.086,20.2,0.0,ERROR
PARCEL_009,2026-03-11,-1.613,31.1,0.0,ERROR
PARCEL_022,2026-03-28,-1.086,35.4,0.0,ERROR
PARCEL_014,2026-03-08,-1.273,25.2,0.0,ERROR
PARCEL_015,2026-05-09,1.152,21.9,0.0,ERROR
PARCEL_017,2026-01-04,-1.467,17.5,2.8,ERROR
PARCEL_003,2026-04-28,-1.583,35.3,0.0,ERROR
PARCEL_018,2026-03-02,1.957,24.1,0.0,ERROR
PARCEL_011,2026-05-07,-1.912,24.0,0.0,ERROR
PARCEL_024,2026-02-28,1.73,33.9,0.0,ERROR
PARCEL_017,2026-01-16,-1.786,17.6,3.0,ERROR
PARCEL_014,2026-01-24,-1.755,21.3,1.6,ERROR
PARCEL_019,2026-05-11,-1.755,20.9,0.0,ERROR
PARCEL_011,2026-04-26,1.129,31.6,0.0,ERROR
PARCEL_015,2026-04-15,-1.623,19.3,0.0,ERROR
PARCEL_002,2026-04-18,-1.464,15.8,0.0,ERROR
PARCEL_006,2026-01-29,-1.328,31.3,0.0,ERROR
PARCEL_014,2026-04-12,1.561,24.6,0.0,ERROR
PARCEL_011,2026-03-21,-1.157,28.0,0.0,ERROR
PARCEL_007,2026-02-14,1.843,22.1,0.0,ERROR
PARCEL_008,2026-05-30,-1.869,20.0,9.0,ERROR
PARCEL_016,2026-03-26,-1.311,33.2,0.0,ERROR
PARCEL_009,2026-01-21,1.873,15.4,0.0,ERROR
PARCEL_020,2026-03-30,1.794,27.1,0.0,ERROR
PARCEL_020,2026-05-01,-1.834,23.9,0.0,ERROR
PARCEL_012,2026-02-15,-1.206,18.1,0.0,ERROR
PARCEL_019,2026-02-27,-1.485,27.4,0.0,ERROR
PARCEL_025,2026-05-19,1.757,31.9,6.0,ERROR
PARCEL_023,2026-05-20,1.079,25.9,0.0,ERROR
PARCEL_011,2026-02-14,-1.288,26.1,0.0,ERROR
PARCEL_001,2026-05-13,-1.434,20.8,0.0,ERROR
PARCEL_007,2026-01-17,-1.444,33.6,0.0,ERROR
PARCEL_011,2026-05-22,1.356,30.9,0.0,ERROR
PARCEL_003,2026-05-16,1.403,21.7,0.0,ERROR
PARCEL_007,2026-01-29,-1.976,33.6,1.3,ERROR
PARCEL_010,2026-01-03,1.416,17.7,0.0,ERROR
PARCEL_006,2026-04-04,-1.292,34.1,4.7,ERROR
PARCEL_019,2026-04-29,1.162,17.7,0.0,ERROR
PARCEL_024,2026-01-06,-1.208,26.8,1.6,ERROR
PARCEL_006,2026-03-10,-1.072,26.2,0.0,ERROR
PARCEL_025,2026-01-31,1.419,33.2,0.0,ERROR
PARCEL_023,2026-03-01,-1.556,34.7,0.0,ERROR
PARCEL_004,2026-04-23,1.857,28.2,0.0,ERROR
PARCEL_004,2026-04-05,-1.588,25.0,0.0,ERROR
PARCEL_021,2026-02-21,1.508,31.6,0.0,ERROR
PARCEL_025,2026-04-07,-1.813,18.9,0.0,ERROR
PARCEL_024,2026-05-03,1.947,18.3,0.0,ERROR
PARCEL_007,2026-03-23,1.028,20.5,0.0,ERROR
PARCEL_012,2026-04-11,-1.256,22.5,0.0,ERROR
PARCEL_013,2026-05-23,1.616,24.9,0.0,ERROR
PARCEL_017,2026-05-05,-1.882,22.0,0.0,ERROR
PARCEL_024,2026-04-11,-1.413,29.7,0.0,ERROR
PARCEL_024,2026-05-04,1.721,27.5,0.0,ERROR
PARCEL_007,2026-04-22,-1.304,21.6,0.0,ERROR
PARCEL_012,2026-02-07,1.039,22.3,0.0,ERROR
PARCEL_025,2026-04-03,-1.719,19.6,0.0,ERROR
